"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/27 8:40:06 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Todas","Ruim","Não mudou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Ruim","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Péssima","Não sei/Não quero responder"
"2020/10/27 8:41:03 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Péssima","Péssimo"
"2020/10/27 8:42:06 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Igual","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"2020/10/27 8:42:12 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Ruim","Razoável","Mais exigentes","Muito maior","Não","Regular","Bom"
"2020/10/27 8:42:37 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Razoável","Tão exigentes quanto","Muito maior","Sim","Péssima","Regular"
"2020/10/27 8:43:28 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Não","Não sei/Não quero responder","Péssima","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Péssima","Ruim"
"2020/10/27 8:44:53 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Não mudou","Pior","Pior","Raramente","Sim","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"2020/10/27 8:48:45 AM GMT-3","10","Engenharia Elétrica","Sousa","Não sei/Não quero responder","Todas","Excelente","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"2020/10/27 8:49:13 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Todas","Bom","Melhorou","Melhor","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"2020/10/27 8:49:17 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Sim","Todas","Ruim","Piorou","Igual","Pior","Raramente","Sim","Nao","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"2020/10/27 8:49:40 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Melhor","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"2020/10/27 8:52:21 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Melhor","Não afetou","Raramente","Sim","Nao","Boa","Insuficiente","Tão exigentes quanto","Igual","Não","Excelente","Excelente"
"2020/10/27 8:53:39 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Melhorou","Igual","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/27 8:54:18 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Ruim","Excelente"
"2020/10/27 8:54:26 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"2020/10/27 8:54:28 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Melhorou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"2020/10/27 8:56:16 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/27 8:57:08 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Razoável","Inexistente","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"2020/10/27 8:57:26 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Melhor","Raramente","Sim","Não passo por essas dificuldades","Excelente","Bom","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"2020/10/27 8:58:15 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Melhorou","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
