"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"1019","2020/11/05 3:29:18 PM GMT-3","5","Direito","Sousa","Sim","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Regular"
"1020","2020/11/05 3:29:22 PM GMT-3","5","Direito","Sousa","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Insuficiente","Menos exigentes","Menor","Não","Ruim","Péssimo"
"1021","2020/11/05 3:29:26 PM GMT-3","5","Direito","Sousa","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Igual","Não","Regular","Ruim"
"1022","2020/11/05 3:30:09 PM GMT-3","7","Direito","Sousa","Não","Todas","Bom","Piorou","Pior","Não afetou","Raramente","Não","Não sei/Não quero responder","Razoável","Bom","Menos exigentes","Maior","Não","Regular","Não sei/Não quero responder"
"1025","2020/11/05 3:32:58 PM GMT-3","3","Administração","Sousa","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Péssima","Excelente"
"1026","2020/11/05 3:33:37 PM GMT-3","3","Direito","Sousa","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Não sei/Não quero responder"
"1027","2020/11/05 3:33:40 PM GMT-3","3","Direito","Sousa","Não sei/Não quero responder","Todas","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Inexistente","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"1029","2020/11/05 3:34:09 PM GMT-3","3","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"1030","2020/11/05 3:34:57 PM GMT-3","5","Direito","Sousa","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Ruim"
"1034","2020/11/05 3:35:46 PM GMT-3","3","Direito","Sousa","Sim","Todas","Ruim","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Sim","Regular","Não sei/Não quero responder"
"1036","2020/11/05 3:36:03 PM GMT-3","5","Direito","Sousa","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Regular","Regular"
"1037","2020/11/05 3:36:18 PM GMT-3","3","Direito","Sousa","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Regular","Não sei/Não quero responder"
"1040","2020/11/05 3:38:01 PM GMT-3","5","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"1044","2020/11/05 3:39:38 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Ruim"
"1059","2020/11/05 3:49:20 PM GMT-3","5","Direito","Sousa","Sim","Todas","Bom","Piorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Razoável","Razoável","Menos exigentes","Maior","Não","Regular","Excelente"
"1062","2020/11/05 3:49:30 PM GMT-3","3","Direito","Sousa","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Maior","Não","Boa","Bom"
"1063","2020/11/05 3:49:33 PM GMT-3","3","Direito","Sousa","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Péssima","Péssimo"
"1065","2020/11/05 3:49:59 PM GMT-3","5","Direito","Sousa","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Não sei/Não quero responder"
"1068","2020/11/05 3:52:20 PM GMT-3","5","Direito","Sousa","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Ruim","Não sei/Não quero responder"
"1069","2020/11/05 3:53:09 PM GMT-3","7","Direito","Sousa","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"1080","2020/11/05 3:57:22 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Raramente","Não","Sim","Ruim","Razoável","Tão exigentes quanto","Maior","Não","Regular","Bom"
"1082","2020/11/05 3:58:26 PM GMT-3","5","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Péssima","Insuficiente","Tão exigentes quanto","Igual","Não","Péssima","Péssimo"
"1087","2020/11/05 4:02:47 PM GMT-3","3","Direito","Sousa","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Bom","Mais exigentes","Muito maior","Sim","Péssima","Excelente"
"1088","2020/11/05 4:03:06 PM GMT-3","5","Direito","Sousa","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Péssima","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Ruim"
"1090","2020/11/05 4:04:09 PM GMT-3","5","Direito","Sousa","Não sei/Não quero responder","Todas","Razoável","Não mudou","Igual","Melhor","Raramente","Não","Não sei/Não quero responder","Razoável","Razoável","Tão exigentes quanto","Muito maior","Não","Ruim","Regular"
"1108","2020/11/05 4:12:34 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Ruim","Insuficiente","Não sei/Não quero responder","Igual","Não","Péssima","Ruim"
"1117","2020/11/05 4:22:31 PM GMT-3","7","Direito","Sousa","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Ruim","Insuficiente","Menos exigentes","Maior","Sim","Péssima","Péssimo"
"1121","2020/11/05 4:26:05 PM GMT-3","3","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Não sei/Não quero responder"
"1152","2020/11/05 5:05:56 PM GMT-3","1","Direito","Sousa","Não sei/Não quero responder","Todas","Bom","Melhorou","Igual","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Excelente","Menos exigentes","Maior","Não","Não sei/Não quero responder","Excelente"
"1156","2020/11/05 5:11:43 PM GMT-3","5","Direito","Sousa","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Péssima","Razoável","Não sei/Não quero responder","Muito maior","Sim","Regular","Regular"
"1158","2020/11/05 5:17:16 PM GMT-3","3","Administração","Sousa","Sim","Todas","Bom","Melhorou","Pior","Pior","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1159","2020/11/05 5:17:30 PM GMT-3","5","Direito","Sousa","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Péssima","Regular"
"1160","2020/11/05 5:20:10 PM GMT-3","4","Administração","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Ruim"
"1167","2020/11/05 5:24:20 PM GMT-3","3","Administração","Sousa","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"1168","2020/11/05 5:29:41 PM GMT-3","5","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Bom","Menos exigentes","Igual","Não","Ruim","Ruim"
"1169","2020/11/05 5:30:16 PM GMT-3","3","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Menor","Não","Ruim","Bom"
"1171","2020/11/05 5:32:22 PM GMT-3","5","Direito","Sousa","Sim","Todas","Excelente","Melhorou","Melhor","Melhor","Nunca","Sim","Não passo por essas dificuldades","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Regular","Bom"
"1174","2020/11/05 5:37:32 PM GMT-3","5","Direito","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1175","2020/11/05 5:38:11 PM GMT-3","5","Direito","Sousa","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Igual","Sim","Ruim","Ruim"
"1176","2020/11/05 5:38:16 PM GMT-3","7","Direito","Sousa","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Tão exigentes quanto","Maior","Não","Regular","Regular"
"1179","2020/11/05 5:43:27 PM GMT-3","9","Direito","Sousa","Não","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Regular"
